


委員長（阿達雅志君）	ただいまから外交防衛委員会を開会いたします。　委員の異動について御報告いたします。　昨日、吉川ゆうみ君が委員を辞任され、その補欠として神谷政幸君が選任されました。
委員長（阿達雅志君）	国政調査に関する件についてお諮りいたします。　本委員会は、今期国会におきましても、外交、防衛等に関する調査を行いたいと存じますが、御異議ございませんか。　　　〔「異議なし」と呼ぶ者あり〕
委員長（阿達雅志君）	御異議ないと認め、さよう決定いたします。
委員長（阿達雅志君）	委員派遣承認要求に関する件についてお諮りいたします。　我が国の外交、防衛等に関する実情調査のため、委員派遣を行いたいと存じますが、御異議ございませんか。　　　〔「異議なし」と呼ぶ者あり〕
委員長（阿達雅志君）	御異議ないと認めます。　つきましては、派遣委員、派遣地、派遣期間等の決定は、これを委員長に御一任願いたいと存じますが、御異議ございませんか。　　　〔「異議なし」と呼ぶ者あり〕
委員長（阿達雅志君）	御異議ないと認め、さよう決定いたします。　本日はこれにて散会いたします。　　　午後零時二分散会

委員長（阿達雅志君）	ただいまから外交防衛委員会を開会いたします。　委員の異動について御報告いたします。　去る一月二十六日、神谷政幸君が委員を辞任され、その補欠として吉川ゆうみ君が選任されました。
委員長（阿達雅志君）	外交、防衛等に関する調査を議題といたします。　まず、外務大臣から外交の基本方針について所信を聴取いたします。林外務大臣。
国務大臣（林芳正君）	外交防衛委員会の開催に当たり、阿達委員長を始め、理事、委員各位に御挨拶申し上げるとともに、外交政策の所信について申し述べます。　今、世界は歴史の転換期にあります。ポスト冷戦時代の平和と繁栄を支えた法の支配に基づく自由で開かれた国際秩序は、パワーバランスの歴史的変化と地政学的競争の激化に伴い、重大な挑戦にさらされています。　国際秩序の根幹を揺るがすロシアによるウクライナ侵略は、一年以上たった今も続いています。私は二月にミュンヘンにおいて、本年の日本議長国下で初となるＧ７外相会合を主催し、法の支配に基づく国際秩序を堅持するというコミットメントを強調するとともに、ウクライナに対する支援を継続する決意を再確認しました。引き続き、Ｇ７を始めとする国際社会と緊密に連携しながら、対ロ制裁とウクライナ支援を強力に推し進めます。また、今般ロシアが新戦略兵器削減条約の履行を停止する旨発表したことを強く懸念しています。　我が国の排他的経済水域内に落下した二月十八日のＩＣＢＭ級弾道ミサイル発射を含め、北朝鮮による核・ミサイル活動も活発化しています。北朝鮮が繰り返す弾道ミサイルの発射等は断じて許されず、今後とも、日米、日米韓で緊密に連携して対応していきます。　中国は、政治、経済、軍事等様々な面で国際社会への影響力を増し、それに伴い様々な難しい諸問題を提起しています。　このような挑戦に加え、国際社会が価値観の相違、利害の衝突を乗り越えて協力すべき諸課題も一層急迫の度を増しています。　こうした情勢の中で、引き続き、普遍的価値を守り抜く覚悟、日本の平和と安全を守り抜く覚悟、そして、地球規模の課題に向き合い国際社会を主導する覚悟、これら三つの覚悟を持って、対応力の高い、低重心の姿勢で外交を展開していきます。　まず、Ｇ７議長国及び安保理非常任理事国として、法の支配に基づく自由で開かれた国際秩序を堅持するための取組を更に推進します。一月に私自身が主催した法の支配に関する国連安保理閣僚級公開討論や、二月のミュンヘンでのＧ７外相会合でも法の支配の重要性を再確認しました。二月二十四日に岸田総理が主催したＧ７首脳テレビ会議においても、法の支配に基づく国際秩序を堅持することについて、Ｇ７の連帯は決して揺らぐことはないとの認識で一致しました。　日本がＧ７議長国として開催する広島サミットでは、力による一方的な現状変更の試みや、ロシアが行っているような核兵器による威嚇、ましてや、その使用はあってはならないものとして断固として拒否し、法の支配に基づく国際秩序を守り抜くというＧ７の意志を力強く示していきます。同時に、エネルギー・食料安全保障を含む世界経済、ウクライナやインド太平洋を含む地域情勢、核軍縮・不拡散、経済安全保障、また、気候変動、保健、開発などといった地球規模の課題などへの対応を主導していきます。私自身が議長を務めるＧ７長野県軽井沢外相会合、また、Ｇ７大阪・堺貿易大臣会合などを通じ、Ｇ７の緊密な連携を推進していきます。Ｇ20議長国であるインドとも連携してまいります。　日米豪印での連携も格段に強化してきました。先週末のインドでの外相会合でも確認したとおり、力による一方的な現状変更をいかなる地域においても許さないとの決意を示しながら、自由で開かれたインド太平洋、ＦＯＩＰの実現に向けた幅広い分野の実践的協力を進めていきます。　ＦＯＩＰの重要性は一層高まっています。日本は、外交的取組を強化する新たなプランの策定を進めるとともに、日米豪印に加え、ＦＯＩＰの実現に向けたパートナーとの連携を強化します。特に、友好協力五十周年を迎えるＡＳＥＡＮとは、十二月をめどに東京で開催する特別首脳会議の機会に、日・ＡＳＥＡＮ関係の将来のビジョンを打ち出す考えです。　ロシアによるウクライナ侵略は、食料、エネルギー価格の高騰などにより、中東、アフリカ等にも深刻な影響を与えています。偽情報による分断の試みという課題にも目を向けねばなりません。私自身、東南アジア、太平洋島嶼国、中央アジア、中東、アフリカ、中南米といった様々な地域への訪問も通じ、幅広い国との対話を強化してきました。日本として、あらゆる地域の国々との間で築き上げてきたきめ細やかな地域外交を礎に、法の支配に基づく秩序の重要性を共有し、共に維持強化していくための努力を継続します。　ロシアによるウクライナ侵略は、多国間主義をも脅かしています。安保理を始め国連が試練を迎える中、各国との緊密な対話を通じて安保理が本来の責任を果たせるよう積極的に貢献していきます。さきに述べた一月の国連安保理閣僚級公開討論では、法の支配のための結集という私の呼びかけに多くの国から賛同いただきました。また、二月の国連総会緊急特別会合では、国連憲章の諸原則に基づくウクライナの平和とロシアによる侵略の即時停止を求める決議への支持を求め、全国連加盟国の七割以上を占める百四十一か国の賛成により採択されました。国連自身の機能強化のため、また、安保理改革の早期の進展のため、引き続き努力します。　ルールに基づく自由で公正な経済秩序は、日本はもちろん、世界の成長と繁栄の基盤です。ＣＰＴＰＰのハイスタンダードの維持やＲＣＥＰ協定の透明性のある履行の確保に取り組むとともに、ＷＴＯ改革を主導します。デジタル分野でも、国際的なルールづくりで中心的な役割を果たします。ＩＰＥＦでも、具体的な成果に向けて引き続き建設的に議論に貢献します。日本企業の海外展開支援にも積極的に取り組むとともに、日本産食品に対する輸入規制措置の全廃に向け、政府一丸となって働きかけていきます。また、二〇二五年大阪・関西万博の成功に向け、引き続き力強く取り組みます。　日本は、戦後最も厳しく複雑な安全保障環境に直面しています。　国家安全保障戦略では、日本の安全保障に関わる総合的な国力の要素として、まず外交力を挙げています。外交実施体制の抜本的強化に取り組むとともに、防衛力の抜本的強化に裏打ちされた力強い外交を展開します。また、経済的威圧への対応を含む経済安全保障の推進に積極的に取り組んでいきます。　同時に、日本の外交・安全保障政策の基軸である日米同盟も更に深化させていきます。米国とは、累次の会談機会を通じ、いかなる地域でも力による一方的な現状変更は決して受け入れられないことを確認してきました。日米にとって戦略的に最も重要なインド太平洋地域のポテンシャルを、安定と繁栄につなげていかねばなりません。そのため、日米同盟の役割及び任務の進化も踏まえ、同盟の抑止力、対処力の強化に日米で共に取り組んでいきます。さらに、日本における米軍の態勢の一層の最適化に向けた取組を進めるとともに、普天間飛行場の一日も早い全面返還を目指し、辺野古移設を進めるなど、地元の負担軽減と在日米軍の安定的駐留に全力を尽くします。　また、昨年立ち上げた経済版２プラス２を通じて、外交・安全保障と経済を一体として議論し、経済安全保障、ルールに基づく経済秩序の維持強化といった日米共通の課題について一層連携を強化していきます。　ロシアによるウクライナ侵略を受け、欧州とインド太平洋の安全保障は不可分との認識が広がる中、欧州諸国との防衛分野での協力も進展しています。引き続き、欧州諸国及びＥＵ、ＮＡＴＯによるインド太平洋への関与拡大に向けて具体的協力を進めていきます。　核軍縮・不拡散については、ヒロシマ・アクション・プランを始め、核兵器のない世界に向けた現実的かつ実践的な取組を進めていきます。国際賢人会議等の取組を進めていくとともに、Ｇ７広島サミットで力強いメッセージを発信できるよう、Ｇ７メンバー等と議論を深めていきます。　日本及び地域の平和と安全を維持すべく、近隣国等との間の難しい問題に正面から対応しつつ、安定的な関係を築いていきます。　日本と中国の間には、様々な可能性とともに、尖閣諸島情勢を含む東シナ海、南シナ海における力による一方的な現状変更の試みや、中国による我が国周辺での一連の軍事活動、特に、排他的経済水域を含む日本近海への弾道ミサイルの着弾、また、中国が飛行させたと強く推定される我が国領空内で確認されていた特定の気球型の飛行物体を含め、数多くの課題や懸案が存在しています。また、台湾海峡の平和と安定も重要です。さらに、新疆ウイグル自治区の人権状況や香港情勢についても深刻に懸念しています。同時に、日中両国は地域と世界の平和と繁栄に対して大きな責任を有しています。中国とは、昨年十一月の日中首脳会談で得られた前向きなモーメンタムを維持しながら、主張すべきは主張し、責任ある行動を求めつつ、諸懸案も含め対話をしっかりと重ね、共通の諸課題については協力するという建設的かつ安定的な日中関係の構築を日中双方の努力で加速していくことが重要です。　韓国は、国際社会における様々な課題への対応に協力していくべき重要な隣国です。北朝鮮への対応等を念頭に、安全保障面を含め、日韓、日米韓の戦略的連携を強化していくことの重要性は、論をまちません。喫緊の懸案である旧朝鮮半島出身労働者問題について、六日、韓国政府による措置の発表がありました。日本政府としては、これを二〇一八年の大法院判決により非常に厳しい状態にあった日韓関係を健全な関係に戻すためのものとして評価します。今回の発表を契機とし、措置の実施とともに、日韓の政治、経済、文化等の分野における交流が力強く拡大していくことを期待しており、韓国側と緊密に意思疎通していきます。竹島については、歴史的事実に照らしても、かつ国際法上も日本固有の領土であるとの基本的な立場に基づき、毅然と対応していきます。　ロシアとの関係については、日本の国益を守る形で対応していきます。日ロ関係は、ロシアによるウクライナ侵略によって厳しい状況にあり、平和条約交渉の展望を語れる状況にはありませんが、日本として、領土問題を解決し、平和条約を締結するとの方針を堅持します。また、北方墓参を始めとした北方四島交流等事業の再開は、今後の日ロ関係の中でも最優先事項の一つです。　北朝鮮との間では、拉致、核、ミサイルといった諸懸案を包括的に解決し、不幸な過去を清算して、日朝国交正常化の実現を目指します。最重要課題である拉致問題は時間的制約のある人道問題です。拉致問題の解決には一刻の猶予もありません。全ての拉致被害者の一日も早い帰国を実現すべく、全力で果断に取り組みます。　我々の擁護する国際秩序が国際社会の多数を占める開発途上国の人々の信頼に足るものであることを示すためにも、人類共通の課題への対応を主導しなければなりません。これを踏まえ、新たな時代における人間の安全保障の理念に立脚しつつ、最も重要な外交ツールの一つであるＯＤＡをより一層拡充し、戦略的、効果的な活用を通じて、ＳＤＧｓの達成やＦＯＩＰの実現に向けた取組を加速します。そのために、開発協力大綱を本年前半をめどに改定します。　食料・エネルギー安全保障、気候変動問題、国際保健等に対する国際社会の対応を主導するとともに、プラスチック汚染、生物多様性の保全、深刻化する人道危機、難民・避難民、テロ、暴力的過激主義、男女共同参画などＳＤＧｓ達成に向けた諸課題にも積極的に取り組みます。　基本的な価値である人権の擁護のため、日本らしい人権外交を進めていきます。　以上の諸課題について、着実に具体的な成果を上げるため、人的体制、ＯＤＡの一層の拡充を含む財政基盤、ＤＸ推進を含めた外交・領事実施体制の抜本的強化と戦略的な対外発信に取り組むとともに、国際機関の日本人職員の増加、親日派、知日派育成、日系社会との連携強化に努めます。　また、佐渡島の金山の世界遺産登録に向け、外務省としてもしっかりと役割を果たしていきます。各国の水際措置緩和に伴い国際的な交流が再活性化していることを踏まえ、海外における邦人の安全確保にも、引き続き万全を期します。　阿達委員長を始め、理事、委員各位の御指導と御理解を心よりお願いを申し上げます。
